epoch,train_loss,train_accuracy,accuracy,balanced_accuracy,macro_f1,weighted_f1,per_class_recall,confusion_matrix
20,1.5238786578178405,0.32653061224489793,0.26,0.28745098039215683,0.1815384615384615,0.20164102564102568,"[0.47058823529411764, 0.0, 0.0, 0.3, 0.6666666666666666]","[[8, 0, 0, 6, 3], [4, 0, 0, 4, 3], [4, 0, 0, 3, 2], [5, 0, 0, 3, 2], [1, 0, 0, 0, 2]]"
21,1.2731197476387024,0.46258503401360546,0.32,0.24653594771241827,0.2025884732052578,0.26074823053589485,"[0.5882352941176471, 0.0, 0.4444444444444444, 0.2, 0.0]","[[10, 0, 4, 3, 0], [5, 0, 2, 4, 0], [4, 0, 4, 1, 0], [5, 0, 3, 2, 0], [2, 0, 1, 0, 0]]"
22,1.3304734230041504,0.4421768707482993,0.24,0.3160071301247772,0.1993265993265993,0.19683501683501678,"[0.058823529411764705, 0.45454545454545453, 0.0, 0.4, 0.6666666666666666]","[[1, 5, 0, 4, 7], [0, 5, 0, 3, 3], [0, 4, 0, 2, 3], [0, 2, 0, 4, 4], [0, 0, 0, 1, 2]]"
23,1.411923736333847,0.5170068027210885,0.26,0.30671420083184786,0.23309941520467836,0.2026315789473684,"[0.058823529411764705, 0.36363636363636365, 0.7777777777777778, 0.0, 0.3333333333333333]","[[1, 3, 12, 0, 1], [0, 4, 7, 0, 0], [1, 1, 7, 0, 0], [1, 0, 8, 0, 1], [0, 0, 2, 0, 1]]"
24,1.1891705930233,0.5102040816326531,0.28,0.25807486631016047,0.18037084398976982,0.2117774936061381,"[0.11764705882352941, 0.2727272727272727, 0.0, 0.9, 0.0]","[[2, 3, 0, 12, 0], [1, 3, 0, 7, 0], [2, 0, 0, 7, 0], [1, 0, 0, 9, 0], [0, 0, 0, 3, 0]]"
25,1.3586800932884215,0.4421768707482993,0.2,0.2909090909090909,0.1762123745819398,0.1341680602006689,"[0.0, 0.45454545454545453, 0.3333333333333333, 0.0, 0.6666666666666666]","[[0, 8, 4, 2, 3], [0, 5, 3, 2, 1], [0, 5, 3, 1, 0], [0, 3, 3, 0, 4], [0, 0, 1, 0, 2]]"
26,1.1580224990844727,0.5306122448979592,0.34,0.2,0.10149253731343284,0.17253731343283582,"[1.0, 0.0, 0.0, 0.0, 0.0]","[[17, 0, 0, 0, 0], [11, 0, 0, 0, 0], [9, 0, 0, 0, 0], [10, 0, 0, 0, 0], [3, 0, 0, 0, 0]]"
27,1.3329819679260253,0.42857142857142855,0.22,0.2606060606060606,0.2082926829268293,0.1531219512195122,"[0.0, 0.6363636363636364, 0.3333333333333333, 0.0, 0.3333333333333333]","[[0, 12, 2, 2, 1], [0, 7, 1, 3, 0], [0, 5, 3, 1, 0], [0, 5, 5, 0, 0], [0, 1, 0, 1, 1]]"
28,1.2487294912338256,0.5034013605442177,0.26,0.29878787878787877,0.2450793650793651,0.190031746031746,"[0.0, 0.7272727272727273, 0.3333333333333333, 0.1, 0.3333333333333333]","[[0, 12, 2, 2, 1], [0, 8, 0, 3, 0], [0, 5, 3, 1, 0], [0, 5, 4, 1, 0], [0, 1, 0, 1, 1]]"
29,1.254841148853302,0.5238095238095238,0.4,0.3088888888888889,0.2812698412698412,0.2828253968253968,"[1.0, 0.0, 0.1111111111111111, 0.1, 0.3333333333333333]","[[17, 0, 0, 0, 0], [10, 0, 0, 1, 0], [8, 0, 1, 0, 0], [9, 0, 0, 1, 0], [2, 0, 0, 0, 1]]"
