epoch,train_loss,train_accuracy,accuracy,balanced_accuracy,macro_f1,weighted_f1,per_class_recall,confusion_matrix,auroc,average_precision
25,0.5852970004081726,0.6938775510204082,0.34,0.5,0.2537313432835821,0.17253731343283582,"[0.0, 1.0]","[[0, 33], [0, 17]]",0.5258467023172906,0.4337996375991059
26,0.6375453859567642,0.6394557823129252,0.34,0.5,0.2537313432835821,0.17253731343283582,"[0.0, 1.0]","[[0, 33], [0, 17]]",0.5401069518716577,0.44314003631145993
27,0.5680013567209243,0.7006802721088435,0.36,0.5008912655971479,0.3055555555555556,0.24333333333333332,"[0.06060606060606061, 0.9411764705882353]","[[2, 31], [1, 16]]",0.5383244206773619,0.43644455296823637
28,0.5659526586532593,0.6938775510204082,0.56,0.4955436720142603,0.4944852941176471,0.5527205882352941,"[0.696969696969697, 0.29411764705882354]","[[23, 10], [12, 5]]",0.5490196078431373,0.44158326036035017
29,0.610701858997345,0.6870748299319728,0.56,0.5098039215686274,0.5098039215686274,0.56,"[0.6666666666666666, 0.35294117647058826]","[[22, 11], [11, 6]]",0.5508021390374331,0.4333755677337248
30,0.5978089928627014,0.6530612244897959,0.36,0.5151515151515151,0.28698752228163993,0.21397504456327987,"[0.030303030303030304, 1.0]","[[1, 32], [0, 17]]",0.5561497326203209,0.44737805241587825
31,0.5331149131059647,0.7551020408163265,0.6,0.5401069518716578,0.5404411764705883,0.5933823529411765,"[0.7272727272727273, 0.35294117647058826]","[[24, 9], [11, 6]]",0.5632798573975045,0.44014127379122653
32,0.5688792169094086,0.6530612244897959,0.58,0.5106951871657754,0.5091164095371669,0.5688078541374474,"[0.7272727272727273, 0.29411764705882354]","[[24, 9], [12, 5]]",0.5739750445632799,0.4555410042805001
33,0.5988250285387039,0.6870748299319728,0.6,0.4973262032085562,0.4802494802494802,0.5600831600831601,"[0.8181818181818182, 0.17647058823529413]","[[27, 6], [14, 3]]",0.5846702317290552,0.47929831946666523
34,0.6127958118915557,0.6054421768707483,0.56,0.5240641711229946,0.5225694444444444,0.5653472222222222,"[0.6363636363636364, 0.4117647058823529]","[[21, 12], [10, 7]]",0.5686274509803921,0.47316569684269866
35,0.560711321234703,0.7210884353741497,0.5,0.5641711229946524,0.49979991996798717,0.49659863945578225,"[0.36363636363636365, 0.7647058823529411]","[[12, 21], [4, 13]]",0.5650623885918002,0.47227106587835777
36,0.5064089477062226,0.7619047619047619,0.56,0.5240641711229946,0.5225694444444444,0.5653472222222222,"[0.6363636363636364, 0.4117647058823529]","[[21, 12], [10, 7]]",0.5650623885918002,0.4517837100798646
37,0.5212351322174072,0.7687074829931972,0.58,0.5106951871657754,0.5091164095371669,0.5688078541374474,"[0.7272727272727273, 0.29411764705882354]","[[24, 9], [12, 5]]",0.5668449197860963,0.4525982402262362
38,0.5640066176652908,0.7482993197278912,0.58,0.5106951871657754,0.5091164095371669,0.5688078541374474,"[0.7272727272727273, 0.29411764705882354]","[[24, 9], [12, 5]]",0.5632798573975044,0.45007220937539716
39,0.5010112315416336,0.8095238095238095,0.48,0.5204991087344029,0.47916666666666663,0.4858333333333333,"[0.3939393939393939, 0.6470588235294118]","[[13, 20], [6, 11]]",0.5739750445632799,0.46152545176844106
