epoch,train_loss,train_accuracy,accuracy,balanced_accuracy,macro_f1,weighted_f1,per_class_recall,confusion_matrix,auroc,average_precision
20,0.8165530174970627,0.581081081081081,0.875,0.4772727272727273,0.4666666666666667,0.8555555555555556,"[0.9545454545454546, 0.0]","[[42, 2], [4, 0]]",0.42613636363636365,0.09317331973581974
21,0.7440847784280777,0.47297297297297297,0.9166666666666666,0.5,0.4782608695652174,0.8768115942028986,"[1.0, 0.0]","[[44, 0], [4, 0]]",0.4659090909090909,0.10795846665411882
22,0.6491407334804535,0.581081081081081,0.8958333333333334,0.48863636363636365,0.4725274725274725,0.8663003663003663,"[0.9772727272727273, 0.0]","[[43, 1], [4, 0]]",0.4545454545454546,0.10014204545454547
23,0.5353615388274193,0.8581081081081081,0.9166666666666666,0.5,0.4782608695652174,0.8768115942028986,"[1.0, 0.0]","[[44, 0], [4, 0]]",0.4772727272727273,0.10894660894660894
24,0.5215738385915756,0.7635135135135135,0.2708333333333333,0.48863636363636365,0.2549889135254989,0.34552845528455284,"[0.22727272727272727, 0.75]","[[10, 34], [1, 3]]",0.42613636363636365,0.09275243726463239
25,0.5569261759519577,0.7972972972972973,0.7083333333333334,0.5,0.475,0.7666666666666666,"[0.75, 0.25]","[[33, 11], [3, 1]]",0.4375,0.09459419779187221
26,0.5381440103054047,0.8513513513513513,0.5,0.38636363636363635,0.36703296703296706,0.6087912087912087,"[0.5227272727272727, 0.25]","[[23, 21], [3, 1]]",0.42613636363636365,0.09283309283309282
27,0.5009972304105759,0.8716216216216216,0.5416666666666666,0.4090909090909091,0.3888888888888889,0.6435185185185185,"[0.5681818181818182, 0.25]","[[25, 19], [3, 1]]",0.4147727272727273,0.09175084175084175
28,0.5711573362350464,0.7162162162162162,0.5,0.38636363636363635,0.36703296703296706,0.6087912087912087,"[0.5227272727272727, 0.25]","[[23, 21], [3, 1]]",0.4375,0.09741477272727272
29,0.5295180171728134,0.5878378378378378,0.9166666666666666,0.5,0.4782608695652174,0.8768115942028986,"[1.0, 0.0]","[[44, 0], [4, 0]]",0.4943181818181818,0.13983720180528691
30,0.567702279984951,0.6621621621621622,0.75,0.5227272727272727,0.49825783972125437,0.794425087108014,"[0.7954545454545454, 0.25]","[[35, 9], [3, 1]]",0.4659090909090909,0.11184329710144927
31,0.49633940160274503,0.8513513513513513,0.375,0.4318181818181818,0.31688804554079697,0.4829222011385199,"[0.36363636363636365, 0.5]","[[16, 28], [2, 2]]",0.44886363636363635,0.10338609497094771
32,0.4753856837749481,0.8108108108108109,0.8958333333333334,0.48863636363636365,0.4725274725274725,0.8663003663003663,"[0.9772727272727273, 0.0]","[[43, 1], [4, 0]]",0.4829545454545454,0.11537712326632384
33,0.4797405362129211,0.8513513513513513,0.875,0.4772727272727273,0.4666666666666667,0.8555555555555556,"[0.9545454545454546, 0.0]","[[42, 2], [4, 0]]",0.47727272727272724,0.11391513496223027
34,0.4577696532011032,0.7905405405405406,0.9166666666666666,0.5,0.4782608695652174,0.8768115942028986,"[1.0, 0.0]","[[44, 0], [4, 0]]",0.5170454545454546,0.1441469645361651
35,0.5339319944381714,0.7635135135135135,0.08333333333333333,0.5,0.07692307692307693,0.012820512820512822,"[0.0, 1.0]","[[0, 44], [0, 4]]",0.4375,0.09829336323901541
36,0.600914041697979,0.7364864864864865,0.875,0.4772727272727273,0.4666666666666667,0.8555555555555556,"[0.9545454545454546, 0.0]","[[42, 2], [4, 0]]",0.4943181818181818,0.12451690821256038
37,0.48563671112060547,0.7027027027027027,0.9166666666666666,0.5,0.4782608695652174,0.8768115942028986,"[1.0, 0.0]","[[44, 0], [4, 0]]",0.4829545454545454,0.12443864642631247
38,0.4736181885004044,0.8108108108108109,0.8333333333333334,0.5681818181818181,0.5534883720930233,0.8480620155038759,"[0.8863636363636364, 0.25]","[[39, 5], [3, 1]]",0.4772727272727273,0.11380533137686477
39,0.4241585314273834,0.9256756756756757,0.4375,0.46590909090909094,0.3568238213399504,0.5466501240694789,"[0.4318181818181818, 0.5]","[[19, 25], [2, 2]]",0.4602272727272727,0.11019151138716357
40,0.4625119179487228,0.722972972972973,0.9166666666666666,0.5,0.4782608695652174,0.8768115942028986,"[1.0, 0.0]","[[44, 0], [4, 0]]",0.4829545454545454,0.12301119177253478
41,0.4776333153247833,0.7635135135135135,0.9166666666666666,0.5,0.4782608695652174,0.8768115942028986,"[1.0, 0.0]","[[44, 0], [4, 0]]",0.4829545454545454,0.12301119177253478
42,0.43992950618267057,0.8108108108108109,0.4583333333333333,0.5909090909090909,0.390625,0.5598958333333334,"[0.4318181818181818, 0.75]","[[19, 25], [1, 3]]",0.46590909090909094,0.10597826086956522
43,0.46396546959877016,0.8648648648648649,0.6666666666666666,0.4772727272727273,0.45299145299145294,0.7378917378917378,"[0.7045454545454546, 0.25]","[[31, 13], [3, 1]]",0.48863636363636365,0.11519151138716356
