epoch,train_loss,train_accuracy,accuracy,balanced_accuracy,macro_f1,weighted_f1,per_class_recall,confusion_matrix,auroc,average_precision
13,0.6054325640201569,0.7414965986394558,0.82,0.5444444444444444,0.5403472931562819,0.8271705822267619,"[0.8888888888888888, 0.2]","[[40, 5], [4, 1]]",0.56,0.14460113529880972
14,0.6420550912618637,0.6598639455782312,0.9,0.5,0.47368421052631576,0.8526315789473684,"[1.0, 0.0]","[[45, 0], [5, 0]]",0.568888888888889,0.1577089577089577
15,0.6548261672258378,0.7346938775510204,0.64,0.5333333333333333,0.4755244755244755,0.7104895104895106,"[0.6666666666666666, 0.4]","[[30, 15], [3, 2]]",0.5644444444444445,0.15392248062015507
16,0.5409205287694931,0.7074829931972789,0.84,0.4666666666666667,0.45652173913043476,0.8217391304347825,"[0.9333333333333333, 0.0]","[[42, 3], [5, 0]]",0.5777777777777778,0.1641338336460288
17,0.5938881516456604,0.7074829931972789,0.9,0.5,0.47368421052631576,0.8526315789473684,"[1.0, 0.0]","[[45, 0], [5, 0]]",0.5822222222222223,0.16545787545787546
18,0.761415958404541,0.7006802721088435,0.14,0.5222222222222223,0.13689281413087115,0.09546366920915295,"[0.044444444444444446, 1.0]","[[2, 43], [0, 5]]",0.5511111111111111,0.14870257193786607
19,0.5835458219051362,0.8027210884353742,0.9,0.5,0.47368421052631576,0.8526315789473684,"[1.0, 0.0]","[[45, 0], [5, 0]]",0.5822222222222222,0.16452440033085197
20,0.5636972308158874,0.8367346938775511,0.6,0.5111111111111111,0.45175438596491224,0.6798245614035088,"[0.6222222222222222, 0.4]","[[28, 17], [3, 2]]",0.5777777777777777,0.15908547008547008
21,0.539171239733696,0.8503401360544217,0.86,0.4777777777777778,0.46236559139784944,0.8322580645161289,"[0.9555555555555556, 0.0]","[[43, 2], [5, 0]]",0.6000000000000001,0.18297435897435899
22,0.5191650420427323,0.8843537414965986,0.18,0.5444444444444444,0.179671868747499,0.16654661864745898,"[0.08888888888888889, 1.0]","[[4, 41], [0, 5]]",0.5733333333333333,0.14977899293688768
