group,tensor,shape,dtype,bytes,sha256
G0074,tensors/G0074.pt,"96,3,224,224",uint8,14452187,29c0c25a9cd7600f68d8e76b9144a4e5edb24b9373e76daea8adf345aa147ad5
G0076,tensors/G0076.pt,"96,3,224,224",uint8,14452187,29a4b33db8a2957bb45c36c32efa1b3a8a49512bf3d2cde335574cab25fcd16e
G0079,tensors/G0079.pt,"96,3,224,224",uint8,14452187,65b9a697e9aec757e8bf63c69e56edfc239adca083a8dbd875f6e57ffdaa2302
G0080,tensors/G0080.pt,"96,3,224,224",uint8,14452187,27a0f3dfdacf8144c3f76716cec1082ff6e94bd3dcb8b7bc47c771cf67d06abf
G0081,tensors/G0081.pt,"96,3,224,224",uint8,14452187,f64d3098ecd428e1c1991adb659e4c967af92c546f5888043a3920498ba7e83a
G0084,tensors/G0084.pt,"96,3,224,224",uint8,14452187,400fbdea987b65ed4592719308b0519498cfbb69287d7c3e2b99e4005bf4f65f
G0086,tensors/G0086.pt,"96,3,224,224",uint8,14452187,3cdc2c3da82465ec942aef65d814c943fe80ce82ea5bf21630897d0e47fd34cb
G0087,tensors/G0087.pt,"96,3,224,224",uint8,14452187,66507720c5b45d58784d506651213ae1961086ce9903d5dd64117881a53422bd
G0088,tensors/G0088.pt,"96,3,224,224",uint8,14452187,a0870550d2f50382049466115fde703ffadeafc0ea521b8131fb827a22aaf1d2
G0089,tensors/G0089.pt,"96,3,224,224",uint8,14452187,f95c2e0128fb7f10bd1f3b11e50eedec810adb6d36431fcb8001400b16c94d49
G0090,tensors/G0090.pt,"96,3,224,224",uint8,14452187,7e61b4b4a6b3ca51920956638d0b65c7c6e6bbbb347f393058f805b42561e198
G0091,tensors/G0091.pt,"96,3,224,224",uint8,14452187,09b261335ad5885b135a39758f6722a7baa83fe9b8d0c063c88a942254272ec0
G0093,tensors/G0093.pt,"96,3,224,224",uint8,14452187,c4906dd310e3a03dfb037a13692db97922a5dc4cd0acdc13917c72b5e3bc80b1
G0094,tensors/G0094.pt,"96,3,224,224",uint8,14452187,ef8f56de0a0197ccc61943e6a21ff7c5b7be32d6f8fbc87714ff65ec1b62c3fb
G0096,tensors/G0096.pt,"96,3,224,224",uint8,14452187,43882f5ffcedeb1b0846795c157f8d88679075d6360b303eb80213c90a6eee57
G0097,tensors/G0097.pt,"96,3,224,224",uint8,14452187,c778e6f6788ffc5483b51bb0968f87770903a0e28ef3e5e3958d89aa7f28e2aa
G0098,tensors/G0098.pt,"96,3,224,224",uint8,14452187,785dc00549f433d797aebefaab937822d7435eeb18505ba0bb19c1ef5c3537a8
G0100,tensors/G0100.pt,"96,3,224,224",uint8,14452187,679bbb417ac2700627f04fe4304efdb832ec240822c1e6c31b7bb306e71590be
G0101,tensors/G0101.pt,"96,3,224,224",uint8,14452187,4c591f220f9307e229c3cce8a8b48f962b8b1bda0335808fff77b51485e0dd40
G0103,tensors/G0103.pt,"96,3,224,224",uint8,14452187,231a5b25279723b8b91e662f41d9453af62daa8fdc65a45bc9f515d815a02638
G0107,tensors/G0107.pt,"96,3,224,224",uint8,14452187,10b2e2527af87712857f4848a8bd36a72e1aea6f9d718e8f01bee12101fb728b
G0108,tensors/G0108.pt,"96,3,224,224",uint8,14452187,8cb763d82492e661d431caf7c14545f26fecd7c3513ce8acc1f188f46564b9ac
G0110,tensors/G0110.pt,"96,3,224,224",uint8,14452187,61c3f1dcf8e2612ef9d330814957c33735850f926507536f45f54d5b924e618f
G0111,tensors/G0111.pt,"96,3,224,224",uint8,14452187,a9242bfaf5df09e58da3b734c637771136232a259400eca7ac1eeaff7f9b5ae2
G0112,tensors/G0112.pt,"96,3,224,224",uint8,14452187,2f6521ac5077099fc1543e590404b23dab9d465c66d1a5afaa3af9c75c02d628
G0113,tensors/G0113.pt,"96,3,224,224",uint8,14452187,d129ab8e13aed203ea551ee039a8f622f5eb16746c4c0a0f473f4b79e776e32a
G0114,tensors/G0114.pt,"96,3,224,224",uint8,14452187,c7e1c6ae299ddc8790b89a311fa306d30680aa8d7bf08a5b6ebf2a29b1a42feb
G0115,tensors/G0115.pt,"96,3,224,224",uint8,14452187,65a3d80e4396a2899fdf8604982fdc8c1b7bc224f33858699c4f08af0c2deb4c
G0116,tensors/G0116.pt,"96,3,224,224",uint8,14452187,9d33b2b10d2ce9e72c5d9e33de09945e485457da78e1c5599088814ff8b78921
G0117,tensors/G0117.pt,"96,3,224,224",uint8,14452187,6365f5d71d0a2fc153e147a99bfc98d1e504281c9510e2938570df4eb3ede077
G0118,tensors/G0118.pt,"96,3,224,224",uint8,14452187,d1b5808cf64c9ec57001ec31f5e1c7abca74b464bebb0a5d2f925e0f313fa957
G0119,tensors/G0119.pt,"96,3,224,224",uint8,14452187,cd1090dbdc15b3e6039e4f2242056c6f1b34c8409ddd012fa6ac374888242fd3
G0121,tensors/G0121.pt,"96,3,224,224",uint8,14452187,6a65d7361aa8fc5060118c444f79d120e14555f4472ed0234d1f8ff74fa75fca
G0123,tensors/G0123.pt,"96,3,224,224",uint8,14452187,6795f95a23291bf048802a9a97a6c45bdb8b106a40134c07541e3fc0495c5abf
G0127,tensors/G0127.pt,"96,3,224,224",uint8,14452187,e277a8c3a34bb15e797068704b80f413c05316e6d4cbe0b8d435476ac8338643
G0129,tensors/G0129.pt,"96,3,224,224",uint8,14452187,04a280e6d922ee359e1d7bfcbcc789934b727ec899a7e49d78cff622dce714a1
G0130,tensors/G0130.pt,"96,3,224,224",uint8,14452187,87f002d8d4f1573eb2d4bfae01f6129214f3c1fdaa5c15ac72d8d5407341a158
G0131,tensors/G0131.pt,"96,3,224,224",uint8,14452187,8a7eaf5fc63f98842eefa59ec1bd7bf3848c0ac59bb4f40d7aa6e0e9ae67a539
G0132,tensors/G0132.pt,"96,3,224,224",uint8,14452187,c373886ddef815b4e60372b4fdc34b885841c88ae57fac3581c39fbda1df87b1
G0134,tensors/G0134.pt,"96,3,224,224",uint8,14452187,39d8e3e8dad27844e541f3980d76c95e6adba86d76df7d4d6b2b10db9a0c207b
G0139,tensors/G0139.pt,"96,3,224,224",uint8,14452187,a290295916e63f4b38c07445c14f2f84b49375d09d306c841631f897a691b306
G0140,tensors/G0140.pt,"96,3,224,224",uint8,14452187,42dbf5db399489fde309de024810d43874b9b9df7b680b1f10031940205033ac
G0142,tensors/G0142.pt,"96,3,224,224",uint8,14452187,d1f4c8bfb4c4adde6568b26c428a88e7385e7bc5a9f4354437ae3981d19ab0bc
G0146,tensors/G0146.pt,"96,3,224,224",uint8,14452187,18a4873260e930b5ad594020d79492ece6d70715be2e30ca45a85b68f861361a
G0147,tensors/G0147.pt,"96,3,224,224",uint8,14452187,cf17cfdbb623cb7412eae5e781150ff109e8a05cdd8401288fc22c4dc71e2275
G0149,tensors/G0149.pt,"96,3,224,224",uint8,14452187,cbe193bbaac49de32151d2ae96789be199ad27eac3169b8de9d47218e9ce950c
G0152,tensors/G0152.pt,"96,3,224,224",uint8,14452187,59fcaa594e215c975b9f09c00118807bfa57947c4a00fad9fdd851fe32241791
G0153,tensors/G0153.pt,"96,3,224,224",uint8,14452187,32f4ed3f54e2aefe2b23605990fbf23273be3dbc90d7f7112f982a9633cfd469
G0154,tensors/G0154.pt,"96,3,224,224",uint8,14452187,c512de2a6087542538449d13bf4b4be8b259baae3493b1af18b9139e38d614e8
G0155,tensors/G0155.pt,"96,3,224,224",uint8,14452187,79cee420dcbe32254abf427fd294fcfe32cb33ded94382df411762928abf99a3
G0156,tensors/G0156.pt,"96,3,224,224",uint8,14452187,85e17cbe808a6c9c815d0966438c15a7d98e58ee434f7dee8217e5ee252d0a42
G0157,tensors/G0157.pt,"96,3,224,224",uint8,14452187,3858d982c7bf802ba46a38455cf8f55f35071880cb95b5c704e1d7e3511f6060
G0158,tensors/G0158.pt,"96,3,224,224",uint8,14452187,d11850415e0e07b5fb675756b995ff21678edf666557f8bda0175440bd896dae
G0159,tensors/G0159.pt,"96,3,224,224",uint8,14452187,76bbb87745e748c452603a93b108656491babfea5b9533d28aac614cb021c70a
G0160,tensors/G0160.pt,"96,3,224,224",uint8,14452187,ff549a13a8fea7bc78be183ca5b8fd67567094a75c53abc837dcc81390642112
G0162,tensors/G0162.pt,"96,3,224,224",uint8,14452187,fe3dd3cebae3256d5aa8cb2e118e852aa743996b200726a2ade2a181a2ae1dc2
G0165,tensors/G0165.pt,"96,3,224,224",uint8,14452187,8d25fbb099f92c4d474a366a3beea95801deca4d56735836cf9f4bf34db9f5a0
