group,tensor,shape,dtype,bytes,sha256
G0323,tensors/G0323.pt,"96,3,224,224",uint8,14452187,623362876c663ff44412e8650477fda2f698b6e713880bb11e7462639e9a0ee2
G0325,tensors/G0325.pt,"96,3,224,224",uint8,14452187,3ec05504dbd223f3ee3f8f5a952adf8f406b97e47cb59defeefd42321f58f109
G0326,tensors/G0326.pt,"96,3,224,224",uint8,14452187,f4f862a0292f67176213bf899eab842da7ca9cb48f499d1dfdf9122c35723eae
G0328,tensors/G0328.pt,"96,3,224,224",uint8,14452187,6e8bb615aca362b013797edd65cdcd0999370515499031ab1e143b1aa849ae74
G0329,tensors/G0329.pt,"96,3,224,224",uint8,14452187,73e22d85ea4aff131dffb88fa8d277dbe43e62177773747b2f1418faab2dd346
G0331,tensors/G0331.pt,"96,3,224,224",uint8,14452187,52b20fa43566c8a83f22e1184e8dd030844fbb12d0c494a6b303fd99f900d446
G0333,tensors/G0333.pt,"96,3,224,224",uint8,14452187,0d5d9f91bb5ec35310be2fcba9abbc109c5c8ddc635a85c078ad99257730e548
G0334,tensors/G0334.pt,"96,3,224,224",uint8,14452187,48cf5b61bd77a725df3911c4e94cefa21a47965d600bebf72949b9edb1029b2e
G0335,tensors/G0335.pt,"96,3,224,224",uint8,14452187,0c6cabc4a2869c6d269b9715b0d972a358cc9e19d34eb242c2529902cad5b1e6
G0337,tensors/G0337.pt,"96,3,224,224",uint8,14452187,960fcd35d9a20bd7c45f9fc17c33defd0df25151be74fb6ba8667293fed1659d
G0340,tensors/G0340.pt,"96,3,224,224",uint8,14452187,331fbc36b4272f2a98e358ae5e2b3bc79d1665c2e4a8fb4bc75f443241a2662c
G0342,tensors/G0342.pt,"96,3,224,224",uint8,14452187,b7d29f55ce3340361877aa700509113735d120e0df9d0603cb3ba53e892781ac
G0345,tensors/G0345.pt,"96,3,224,224",uint8,14452187,483590bad3fea0ea8798f6d0487a18443806c49ac0b40814e4a9150dca714ced
G0347,tensors/G0347.pt,"96,3,224,224",uint8,14452187,dae51119541e7d49d98834c652ba4c79bb08d172d1f6e2ed07680f8bfb4233ef
G0348,tensors/G0348.pt,"96,3,224,224",uint8,14452187,43fc41a99c3d63aa629633cd289ab375bf9d7e95a90ddccc644b9a7683896c26
G0349,tensors/G0349.pt,"96,3,224,224",uint8,14452187,b67b4f6ec06ba33a94ffa37a75c6d264240cfb61e1423066cdca3f3bc8fa733e
G0350,tensors/G0350.pt,"96,3,224,224",uint8,14452187,10963e8acf273dc2cceafd26c0448b8f9afbf523366725e69c2ec82feb41e178
G0351,tensors/G0351.pt,"96,3,224,224",uint8,14452187,76d7ae351f888447fbdecbc1e3d6a41daa9d379806d3a468d7e729cfc38eface
G0354,tensors/G0354.pt,"96,3,224,224",uint8,14452187,e3f37b53b06c2453fd493bb80500fcb2c2dfae074f4b2a7b8b765a7c8033d4aa
G0358,tensors/G0358.pt,"96,3,224,224",uint8,14452187,a51b0e2068c1aaca82311d7034d24a030152b49f2a3463b5ebcdd4657dcff9a6
G0359,tensors/G0359.pt,"96,3,224,224",uint8,14452187,6218ceebb622ae6fec8cd487add0c63373f1925f33d33523bfeb037c82f00adb
G0360,tensors/G0360.pt,"96,3,224,224",uint8,14452187,4ace1de72c9fac03d1b5054a15d862e10d694c3049ad41e64fe8c70232248869
G0362,tensors/G0362.pt,"96,3,224,224",uint8,14452187,7c51260b2bb2a207f4095e20feb95361bb8e3dfb6a5c7ce46f7c1a2ec355ac28
G0364,tensors/G0364.pt,"96,3,224,224",uint8,14452187,0d60c989659db949d05ef28d70caddea0e1bf903a252bf7297dd03c780fd666b
G0365,tensors/G0365.pt,"96,3,224,224",uint8,14452187,7cb99eefb47c7b286cfe16d2d007d4df7a21cb52d9d970b712e56d51565a4650
G0366,tensors/G0366.pt,"96,3,224,224",uint8,14452187,e5f874a0e4b9ed639cfb346c5a667715858174ac4375ec0c71585f64425b24fa
G0367,tensors/G0367.pt,"96,3,224,224",uint8,14452187,cdd5e25d1b5a3f40879bc730345a1357849f18401a83200f391194ef0df74a00
G0370,tensors/G0370.pt,"96,3,224,224",uint8,14452187,81eabe25472aefd2bcf5f0c52d9d441d9663f938f0a23d11923e85f5b04094e0
G0371,tensors/G0371.pt,"96,3,224,224",uint8,14452187,b9974ab4dde1952908513a3c7cbe41d2688dbc9cbc877f8f71be3e611f1a38d6
G0372,tensors/G0372.pt,"96,3,224,224",uint8,14452187,37c16dcf56137bdec5c19ac8ce2e71e20c26c8c20740e0de42988abfa9d60f38
G0373,tensors/G0373.pt,"96,3,224,224",uint8,14452187,227d29c4610c3d69302a8d01363f6a853f68c34e7d5964e165667cf32570ca86
G0378,tensors/G0378.pt,"96,3,224,224",uint8,14452187,37ca09d278b29217a154f13647ac75a1ee12121d227852b672851f49880fc215
G0379,tensors/G0379.pt,"96,3,224,224",uint8,14452187,245827deb528d52ded141c05213abf9d87a21b384cf471b8a3d09c3f8f9c1937
G0380,tensors/G0380.pt,"96,3,224,224",uint8,14452187,d2e87e9ee3da1e7cfe8a422fd4671a9021040c16c587cca1e5e48b15aefe869f
G0381,tensors/G0381.pt,"96,3,224,224",uint8,14452187,5bd0bd85c87bb7f917e335a1217dc0be0f5fbd41bdd07f2b74311ca58b3e68e2
G0382,tensors/G0382.pt,"96,3,224,224",uint8,14452187,26dfb5f321d99352b5fc714d4e5a2052f7d75ca9cdadc4c97268bcd4f8f920ba
G0383,tensors/G0383.pt,"96,3,224,224",uint8,14452187,d71742b87f6ba2c8caadbc077bc9e4b194fb6d730daef9bf5dcc7254b2994242
G0384,tensors/G0384.pt,"96,3,224,224",uint8,14452187,2fc7d7fda9349cbab9f9ba83bd9282878cbf6415719b7b3aca9088b81c90d4cf
G0385,tensors/G0385.pt,"96,3,224,224",uint8,14452187,65ac54dc857a274da44ce182bf3be82eb99b139b83138431d698ae24c325b38f
G0387,tensors/G0387.pt,"96,3,224,224",uint8,14452187,76942233fa9bb3d99db0a6b9c4b8b271e931e96a3c1cef11110f7a6dfe5b8782
G0388,tensors/G0388.pt,"96,3,224,224",uint8,14452187,502db4272d0bfc1c02ffcb13c1ebca13d4549f74d904e9056ac43e87a7440c60
G0389,tensors/G0389.pt,"96,3,224,224",uint8,14452187,60fda39f83ed4b4982a2086942ce5404b15e301bd60a4066634601da6060c7eb
G0391,tensors/G0391.pt,"96,3,224,224",uint8,14452187,4193a98f073c7777a4dae518d02bff1cb4441e975db0b8b9b69edac1eba9d864
G0393,tensors/G0393.pt,"96,3,224,224",uint8,14452187,dd6e27b7f85a7548b7a07fb72503d188c2b2f19ad42e383a74a1096efc8f5e7a
G0394,tensors/G0394.pt,"96,3,224,224",uint8,14452187,dedadf1401a63b51acffaddb27c1f1ba381714fd4faa66eaa1ff8382bd48bddf
G0395,tensors/G0395.pt,"96,3,224,224",uint8,14452187,cf63c9f4d56e2e5497bd7d2624127db39cfbf1feb6c51d62a0db7592aa7c721c
G0396,tensors/G0396.pt,"96,3,224,224",uint8,14452187,56e64e84e2d6be0c34fe0cca533cc749607724f8e2b1ce4c5cfc8ca8ae708c8d
G0399,tensors/G0399.pt,"96,3,224,224",uint8,14452187,92492fbe7073e88bb9a0046ee7aca2b1ede949f1160ed53d31cab179814d8cd5
G0400,tensors/G0400.pt,"96,3,224,224",uint8,14452187,7cae25d71d00235b759cc01e0b4ed94ef8967a87ce586359f1b94ad09bacfd61
G0403,tensors/G0403.pt,"96,3,224,224",uint8,14452187,719e6f361a37aaae27d9f2541037dc64dbbd9f92fcdbc833d7196a24e1b8d7ba
G0404,tensors/G0404.pt,"96,3,224,224",uint8,14452187,f45a796658a48406a10bc8a26b1422819b5debe9248ffe47ac6ca6c4c0c7e68b
G0405,tensors/G0405.pt,"96,3,224,224",uint8,14452187,2db7fff873d9524887779fc58869ec039a23321918cdca0f10f42f26487686e3
G0406,tensors/G0406.pt,"96,3,224,224",uint8,14452187,4e2370b37ae6781eae0a550ff2179850b25739f5cc0f8b585a3981085a6054fc
G0407,tensors/G0407.pt,"96,3,224,224",uint8,14452187,1241d3835861c2809acc726b3452dbd1cfc42476c0c295a73fdc9e90f73215a0
G0408,tensors/G0408.pt,"96,3,224,224",uint8,14452187,f686784f7c0c3b4c79b3ee8fc8293ac71d0ff82150fbfb5b613d8a6c0aebf30b
G0409,tensors/G0409.pt,"96,3,224,224",uint8,14452187,ab8db9811416615f41f4c43ea53fbccdc5e4fe3fc505bcbf43bba78a8110257b
G0411,tensors/G0411.pt,"96,3,224,224",uint8,14452187,5986f89ad69098d392ae4cba1c5c9f74b8b2f54dc4b621e3acbac5f746addc57
G0412,tensors/G0412.pt,"96,3,224,224",uint8,14452187,3c956e1d08e070d609aab2d3f81f14c452de99eb15e870677b813b7fd9b3a227
G0414,tensors/G0414.pt,"96,3,224,224",uint8,14452187,da5b8c12d468cb7fcbcb93b452a1f41ca39ee16448048039405ca494a0512723
G0415,tensors/G0415.pt,"96,3,224,224",uint8,14452187,2e9e2ce76257d3f288c9326eae71236ef0241967630b94b32a9e3283a633fd5e
G0418,tensors/G0418.pt,"96,3,224,224",uint8,14452187,f7942c94a0bf9071b7834dd8e5e62b2ba43699b6f8e1e5dabc5cac0e38a394ff
G0419,tensors/G0419.pt,"96,3,224,224",uint8,14452187,9b4b8c26c4106d781cd6d4218c11b64e40a7200b69a69a61167c763ee8bd840b
G0420,tensors/G0420.pt,"96,3,224,224",uint8,14452187,7c89d6770c238a552a83a1af4bfb1eacf33304843158306a087b6799f6e2cbf8
G0425,tensors/G0425.pt,"96,3,224,224",uint8,14452187,746343ffccbbd3ca98f36263373eb4d9cfdbc87b5353fae173112b1d308101f1
