epoch,train_loss,train_accuracy,accuracy,balanced_accuracy,macro_f1,weighted_f1,per_class_recall,confusion_matrix,auroc,average_precision
1,0.8781346559524537,0.4897959183673469,0.34,0.5,0.2537313432835821,0.17253731343283582,"[0.0, 1.0]","[[0, 33], [0, 17]]",0.42602495543672014,0.37334833926344435
2,1.0856865763664245,0.48299319727891155,0.66,0.5,0.39759036144578314,0.5248192771084337,"[1.0, 0.0]","[[33, 0], [17, 0]]",0.42424242424242425,0.3513570895608584
3,0.7490845024585724,0.54421768707483,0.66,0.5142602495543672,0.4476933073424301,0.557270955165692,"[0.9696969696969697, 0.058823529411764705]","[[32, 1], [16, 1]]",0.4313725490196078,0.35979436123786124
4,0.7182864189147949,0.48299319727891155,0.66,0.5,0.39759036144578314,0.5248192771084337,"[1.0, 0.0]","[[33, 0], [17, 0]]",0.4349376114081996,0.3356978375396898
5,0.7396884262561798,0.5170068027210885,0.36,0.4581105169340463,0.34318555008210183,0.3095566502463054,"[0.15151515151515152, 0.7647058823529411]","[[5, 28], [4, 13]]",0.44385026737967914,0.38983296798637246
6,0.6949698805809021,0.5578231292517006,0.38,0.4304812834224599,0.37975190076030413,0.3757823129251701,"[0.2727272727272727, 0.5882352941176471]","[[9, 24], [7, 10]]",0.4385026737967914,0.3888637668900533
7,0.6826381027698517,0.5510204081632653,0.38,0.48752228163992867,0.3592393551054155,0.32233154195948743,"[0.15151515151515152, 0.8235294117647058]","[[5, 28], [3, 14]]",0.43850267379679136,0.3937963867503621
8,0.7120152771472931,0.5714285714285714,0.56,0.4812834224598931,0.47619047619047616,0.5432380952380953,"[0.7272727272727273, 0.23529411764705882]","[[24, 9], [13, 4]]",0.43850267379679136,0.4095296992521672
9,0.7241335332393646,0.5102040816326531,0.66,0.5,0.39759036144578314,0.5248192771084337,"[1.0, 0.0]","[[33, 0], [17, 0]]",0.4331550802139037,0.41019792777914343
10,0.6302723467350007,0.6258503401360545,0.34,0.4857397504456328,0.27472527472527475,0.2050989010989011,"[0.030303030303030304, 0.9411764705882353]","[[1, 32], [1, 16]]",0.4491978609625668,0.42414396180423436
11,0.6613925844430923,0.5850340136054422,0.7,0.5588235294117647,0.5126705653021442,0.6093567251461988,"[1.0, 0.11764705882352941]","[[33, 0], [15, 2]]",0.4385026737967914,0.41501058594973705
12,0.6628371059894562,0.6530612244897959,0.64,0.5276292335115864,0.506578947368421,0.5886842105263158,"[0.8787878787878788, 0.17647058823529413]","[[29, 4], [14, 3]]",0.4491978609625668,0.4193771903267085
13,0.6289552986621857,0.673469387755102,0.34,0.4857397504456328,0.27472527472527475,0.2050989010989011,"[0.030303030303030304, 0.9411764705882353]","[[1, 32], [1, 16]]",0.47593582887700536,0.4457078614050666
14,0.6430898785591126,0.5714285714285714,0.36,0.5008912655971479,0.3055555555555556,0.24333333333333332,"[0.06060606060606061, 0.9411764705882353]","[[2, 31], [1, 16]]",0.4848484848484848,0.4516913681254713
15,0.6285997629165649,0.6326530612244898,0.52,0.49376114081996436,0.49066213921901525,0.5297792869269949,"[0.5757575757575758, 0.4117647058823529]","[[19, 14], [10, 7]]",0.47058823529411764,0.43828692588719564
16,0.6162440299987793,0.673469387755102,0.6,0.5115864527629234,0.503968253968254,0.5738095238095238,"[0.7878787878787878, 0.23529411764705882]","[[26, 7], [13, 4]]",0.46880570409982175,0.44726052489159895
17,0.6315271914005279,0.5850340136054422,0.7,0.5588235294117647,0.5126705653021442,0.6093567251461988,"[1.0, 0.11764705882352941]","[[33, 0], [15, 2]]",0.47237076648841353,0.44966948329218004
18,0.682668137550354,0.5850340136054422,0.36,0.5151515151515151,0.28698752228163993,0.21397504456327987,"[0.030303030303030304, 1.0]","[[1, 32], [0, 17]]",0.481283422459893,0.4467037829395895
19,0.6649495601654053,0.5850340136054422,0.36,0.40106951871657753,0.36,0.36,"[0.2727272727272727, 0.5294117647058824]","[[9, 24], [8, 9]]",0.4723707664884136,0.4421523555582764
20,0.7430895030498504,0.5510204081632653,0.34,0.5,0.2537313432835821,0.17253731343283582,"[0.0, 1.0]","[[0, 33], [0, 17]]",0.5008912655971478,0.45648628631805943
21,0.6872160077095032,0.5850340136054422,0.34,0.5,0.2537313432835821,0.17253731343283582,"[0.0, 1.0]","[[0, 33], [0, 17]]",0.5098039215686274,0.4626924078920228
22,0.6840466499328614,0.6054421768707483,0.4,0.4456327985739751,0.4,0.4,"[0.30303030303030304, 0.5882352941176471]","[[10, 23], [7, 10]]",0.48841354723707664,0.4587548200875275
23,0.5928748667240142,0.6326530612244898,0.66,0.571301247771836,0.5687468290208015,0.6322272957889397,"[0.8484848484848485, 0.29411764705882354]","[[28, 5], [12, 5]]",0.4830659536541889,0.45542091228948706
24,0.6112907260656357,0.6054421768707483,0.42,0.517825311942959,0.4084047327621379,0.3819012647898817,"[0.21212121212121213, 0.8235294117647058]","[[7, 26], [3, 14]]",0.49376114081996436,0.46599777824266875
25,0.5716298222541809,0.7074829931972789,0.36,0.5151515151515151,0.28698752228163993,0.21397504456327987,"[0.030303030303030304, 1.0]","[[1, 32], [0, 17]]",0.5026737967914439,0.47481581378525795
26,0.631291601061821,0.6462585034013606,0.36,0.5151515151515151,0.28698752228163993,0.21397504456327987,"[0.030303030303030304, 1.0]","[[1, 32], [0, 17]]",0.5044563279857397,0.4718637705443811
