epoch,train_loss,train_accuracy,accuracy,balanced_accuracy,macro_f1,weighted_f1,per_class_recall,confusion_matrix
63,0.8334505915641784,0.7142857142857143,0.16,0.19575757575757574,0.1168627450980392,0.10486274509803922,"[0.0, 0.5454545454545454, 0.0, 0.1, 0.3333333333333333]","[[0, 10, 1, 3, 3], [0, 6, 2, 2, 1], [0, 4, 0, 1, 4], [0, 4, 2, 1, 3], [1, 1, 0, 0, 1]]"
64,0.7594995737075806,0.7619047619047619,0.34,0.27088532382650027,0.2650815850815851,0.3268811188811189,"[0.47058823529411764, 0.2727272727272727, 0.1111111111111111, 0.5, 0.0]","[[8, 1, 0, 7, 1], [6, 3, 0, 2, 0], [2, 0, 1, 5, 1], [4, 0, 1, 5, 0], [2, 0, 0, 1, 0]]"
65,0.8043045043945313,0.6802721088435374,0.36,0.245668449197861,0.21676767676767678,0.2918383838383838,"[0.7647058823529411, 0.36363636363636365, 0.0, 0.1, 0.0]","[[13, 2, 0, 1, 1], [6, 4, 0, 0, 1], [7, 1, 0, 0, 1], [9, 0, 0, 1, 0], [3, 0, 0, 0, 0]]"
66,0.712180244922638,0.7687074829931972,0.24,0.28464646464646465,0.21998001998002,0.1810989010989011,"[0.0, 0.5454545454545454, 0.4444444444444444, 0.1, 0.3333333333333333]","[[0, 9, 4, 2, 2], [1, 6, 4, 0, 0], [0, 4, 4, 1, 0], [1, 3, 4, 1, 1], [1, 0, 1, 0, 1]]"
67,0.7685831964015961,0.6870748299319728,0.32,0.26331550802139037,0.24666666666666667,0.31266666666666665,"[0.35294117647058826, 0.36363636363636365, 0.0, 0.6, 0.0]","[[6, 1, 0, 8, 2], [0, 4, 0, 6, 1], [1, 0, 0, 5, 3], [4, 0, 0, 6, 0], [2, 0, 0, 1, 0]]"
68,0.7982484757900238,0.54421768707483,0.4,0.2650029708853238,0.2232258064516129,0.2994838709677419,"[0.9411764705882353, 0.2727272727272727, 0.1111111111111111, 0.0, 0.0]","[[16, 1, 0, 0, 0], [8, 3, 0, 0, 0], [8, 0, 1, 0, 0], [10, 0, 0, 0, 0], [3, 0, 0, 0, 0]]"
69,1.0588735401630402,0.6326530612244898,0.22,0.24752228163992868,0.17185477061638052,0.17739375175907682,"[0.058823529411764705, 0.5454545454545454, 0.0, 0.3, 0.3333333333333333]","[[1, 8, 0, 5, 3], [0, 6, 0, 3, 2], [0, 4, 0, 1, 4], [0, 3, 0, 3, 4], [1, 1, 0, 0, 1]]"
70,0.8515672028064728,0.7687074829931972,0.28,0.31418894830659533,0.25647405734362255,0.24914649601606118,"[0.058823529411764705, 0.5454545454545454, 0.3333333333333333, 0.3, 0.3333333333333333]","[[1, 6, 2, 6, 2], [0, 6, 2, 2, 1], [0, 3, 3, 1, 2], [0, 2, 3, 3, 2], [0, 0, 1, 1, 1]]"
71,0.698462700843811,0.6870748299319728,0.38,0.2925965537730244,0.29757575757575755,0.3672121212121212,"[0.5882352941176471, 0.36363636363636365, 0.1111111111111111, 0.4, 0.0]","[[10, 1, 0, 5, 1], [5, 4, 0, 1, 1], [4, 0, 1, 3, 1], [6, 0, 0, 4, 0], [2, 0, 0, 1, 0]]"
72,0.7143661230802536,0.6530612244897959,0.36,0.25834818775995244,0.24122544122544123,0.3061871461871462,"[0.7058823529411765, 0.36363636363636365, 0.2222222222222222, 0.0, 0.0]","[[12, 4, 0, 0, 1], [6, 4, 0, 0, 1], [5, 1, 2, 0, 1], [9, 1, 0, 0, 0], [3, 0, 0, 0, 0]]"
73,0.7283950507640838,0.7891156462585034,0.28,0.2667142008318479,0.20874458874458873,0.22672727272727272,"[0.058823529411764705, 0.36363636363636365, 0.1111111111111111, 0.8, 0.0]","[[1, 4, 1, 10, 1], [0, 4, 0, 6, 1], [0, 1, 1, 6, 1], [2, 0, 0, 8, 0], [0, 1, 0, 2, 0]]"
74,0.8245777189731598,0.6938775510204082,0.32,0.31079025549613787,0.29004177109440266,0.30272013366750206,"[0.35294117647058826, 0.5454545454545454, 0.2222222222222222, 0.1, 0.3333333333333333]","[[6, 7, 2, 1, 1], [3, 6, 1, 0, 1], [4, 2, 2, 0, 1], [4, 1, 4, 1, 0], [1, 0, 1, 0, 1]]"
75,0.67168128490448,0.7210884353741497,0.3,0.24008318478906715,0.21597597597597598,0.26515915915915916,"[0.35294117647058826, 0.6363636363636364, 0.1111111111111111, 0.1, 0.0]","[[6, 9, 0, 1, 1], [4, 7, 0, 0, 0], [1, 6, 1, 0, 1], [7, 2, 0, 1, 0], [2, 1, 0, 0, 0]]"
76,0.7667009830474854,0.7142857142857143,0.36,0.2515270350564468,0.24314273961332783,0.31147840394899223,"[0.7647058823529411, 0.18181818181818182, 0.1111111111111111, 0.2, 0.0]","[[13, 0, 0, 3, 1], [9, 2, 0, 0, 0], [5, 0, 1, 2, 1], [8, 0, 0, 2, 0], [3, 0, 0, 0, 0]]"
77,0.6544313549995422,0.7959183673469388,0.22,0.24752228163992868,0.18343358395989973,0.18807518796992484,"[0.058823529411764705, 0.5454545454545454, 0.0, 0.3, 0.3333333333333333]","[[1, 7, 1, 5, 3], [0, 6, 1, 3, 1], [0, 2, 0, 3, 4], [0, 2, 2, 3, 3], [1, 0, 1, 0, 1]]"
78,0.6380886554718017,0.7755102040816326,0.38,0.2574331550802139,0.22400270453008791,0.30100067613252196,"[0.8235294117647058, 0.36363636363636365, 0.0, 0.1, 0.0]","[[14, 1, 0, 1, 1], [7, 4, 0, 0, 0], [8, 1, 0, 0, 0], [9, 0, 0, 1, 0], [3, 0, 0, 0, 0]]"
79,0.6396979242563248,0.8231292517006803,0.32,0.2782174688057041,0.27855121675155625,0.3258177702320317,"[0.29411764705882354, 0.36363636363636365, 0.3333333333333333, 0.4, 0.0]","[[5, 3, 2, 6, 1], [3, 4, 1, 2, 1], [2, 1, 3, 1, 2], [3, 0, 3, 4, 0], [1, 0, 1, 1, 0]]"
80,0.6710728079080581,0.7891156462585034,0.3,0.23144385026737968,0.2081052631578947,0.2667052631578947,"[0.4117647058823529, 0.5454545454545454, 0.0, 0.2, 0.0]","[[7, 6, 0, 3, 1], [3, 6, 0, 1, 1], [4, 1, 0, 2, 2], [7, 1, 0, 2, 0], [2, 0, 0, 1, 0]]"
